Address,lat,lng
"365 Cariboo Hwy, 100 Mile House, BC V0K 2E1, Canada",51.6431345,-121.2963668
"108 Mile Ranch, BC V0K 2Z0, Canada",51.750319,-121.345478
"BC-97, British Columbia, Canada",54.6985492,-122.7918979
"1556 Hwy 97 N, Dawson Creek, BC V1G, Canada",55.7647775,-120.2466534
"3680 Townline Rd, Abbotsford, BC V2T 0G6, Canada",49.0689833,-122.3596202
"2520 Montvue Ave, Abbotsford, BC V2S 2E5, Canada",49.04760570000001,-122.2884697
"32470 Simon Ave, Abbotsford, BC V2T 4J2, Canada",49.05288789999999,-122.3245616
"2525 McCallum Rd #120, Abbotsford, BC V2S 3R1, Canada",49.04783339999999,-122.293969
"33790 Essendene Ave, Abbotsford, BC V2S 2H2, Canada",49.0486175,-122.289305
"3033 Immel St #150, Abbotsford, BC V2S 6S2, Canada",49.0572467,-122.2728421
"32131 Marshall Rd, Abbotsford, BC V2T 1A3, Canada",49.0385802,-122.3337435
"32900 South Fraser Way #401A, Abbotsford, BC V2S 5A1, Canada",49.04951459999999,-122.310486
"28060 Fraser Hwy, Abbotsford, BC V4X 1K7, Canada",49.0569467,-122.4473865
"Sumas Mountain Village 170, 2362 Whatcom Rd #135, Abbotsford, BC V3G 1E1, Canada",49.0448809,-122.2223173
"4a, 34252 Marshall Rd #1, Abbotsford, BC V2S 1L9, Canada",49.0380459,-122.2755275
"1900 N Parallel Rd # 100, Abbotsford, BC V3G 2C6, Canada",49.0370571,-122.2300655
"3122 Mount Lehman Rd Unit M115, Abbotsford, BC V2T 0C5, Canada",49.0587937,-122.3770177
"31205 Maclure Rd #1, Abbotsford, BC V2T 5E5, Canada",49.0551147,-122.3594734
"31940 South Fraser Way #30, Abbotsford, BC V2T 1V6, Canada",49.048188,-122.338418
"1201 Sumas Way #101, Abbotsford, BC V2S 8H2, Canada",49.0242873,-122.2670097
"1520 McCallum Rd Unit #104, Abbotsford, BC V2T 8A3, Canada",49.030778,-122.292211
"2618 McMillan Rd #102, Abbotsford, BC V3G 1C4, Canada",49.0493827,-122.2596959
"1828 McCallum Rd #125, Abbotsford, BC V2S 0H9, Canada",49.0354859,-122.2915031
"2388 Whatcom Rd, Abbotsford, BC V3G 0C1, Canada",49.0452422,-122.2225973
"32700 South Fraser Way #300, Abbotsford, BC V2T 4M5, Canada",49.04995049999999,-122.3208453
"2406 Hot Springs Rd, Agassiz, BC V0M 1K0, Canada",49.2477695,-121.7826914
"1810 BC-9, Agassiz, BC V0M 0A6, Canada",49.237005,-121.7612251
"26444 32 Ave, Langley Twp, BC V4W 3E8, Canada",49.0598023,-122.4909786
"27094 Fraser Hwy, Aldergrove, BC V4W 3P6, Canada",49.05799990000001,-122.4736129
"3650 248 St, Langley Twp, BC V4W 1X7, Canada",49.0679096,-122.5356669
"81 Fir St, Alert Bay, BC V0N 0C3, Canada",50.5857719,-126.9289276
"BC-20, British Columbia, Canada",52.0185601,-124.2983621
"6638 Christensen Rd, Anahim Lake, BC V0L 0A7, Canada",52.4649851,-125.3025186
"6621 Christensen Rd, Anahim Lake, BC V0L 0A7, Canada",52.4638308,-125.3054159
"2559 Marina Rd, Columbia-Shuswap F, BC V0E 1M8, Canada",50.9644532,-119.1733809
"3400 Smith Dr, Armstrong, BC V4Y 0A1, Canada",50.4479701,-119.1834682
"2570 Pleasant Valley Blvd, Armstrong, BC V4Y 0A8, Canada",50.4483877,-119.193406
"Box 189, 4406 Widmark Subdivision, Arras, BC V0C 1B0, Canada",55.7586708,-120.4838409
"90 Discovery Ave, Atlin, BC V0W 1A0, Canada",59.5750099,-133.7046355
"3838 Avola East Frontage Rd, Avola, BC V0E 1C0, Canada",51.7835706,-119.3251366
"5610 Nazko Rd, Quesnel, BC V2J 3J9, Canada",52.9874975,-122.983428
"7824 BC-3A, Balfour, BC V0G 1C0, Canada",49.6250499,-116.9619459
"Bamfield, BC, Canada",48.83328909999999,-125.142835
"242 Frigate Rd, Bamfield, BC V0R 1B0, Canada",48.82609799999999,-125.1338571
"3680 Sweet Rd, Baynes Lake, BC V0B 1T4, Canada",49.2240562,-115.2067947
"328 Grizzly Ave, Bear Lake, BC V0J 3G0, Canada",54.4953635,-122.6827248
"5833 Kelowna-Rock Creek Hwy, Beaverdell, BC V0H 1A0, Canada",49.4347025,-119.088714
"71 Waglisla St, Bella Bella, BC V0T 0B2, Canada",52.16342179999999,-128.1435878
"4213 Likely Rd, Cariboo F, BC 45267, Canada",52.3934711,-121.8808998
"5375 Big White Rd #108, Beaverdell, BC V1P 1P3, Canada",49.721901,-118.9276522
"5375 Big White Rd, Beaverdell, BC V1P 1P3, Canada",49.721901,-118.9276522
"Birch Island, BC V0E 0E2, Canada",51.592765,-119.894231
"8268 N Island Hwy #1, Black Creek, BC V9J 1H7, Canada",49.833528,-125.1290196
"2411 Golf Course Dr, Blind Bay, BC V0E 1H1, Canada",50.8723699,-119.3837775
"2798 Balmoral Rd, Blind Bay, BC V0E 1H1, Canada",50.8768219,-119.3597629
"Blind Channel, BC V0P 1B0, Canada",50.41287699999999,-125.503265
"848 Cedar St, Blue River, BC V0E 1J0, Canada",52.1076073,-119.3072361
"48045 Trans - Canada Hwy, Boston Bar, BC V0K 1C0, Canada",49.8688878,-121.4428531
"48100 Trans - Canada Hwy #370, Boston Bar, BC V0K 1C0, Canada",49.8696446,-121.4421776
"996 Dorman Rd #102, Gibsons, BC V0N 1V0, Canada",49.379193,-123.3381823
"471 Bowen Island Trunk Rd, Bowen Island, BC V0N 1G2, Canada",49.3793308,-123.3371414
"6871 WEST, Island Hwy W, Bowser, BC V0R 1G0, Canada",49.43331690000001,-124.6653377
"7180 W Saanich Rd, Brentwood Bay, BC V8M 1P6, Canada",48.5773207,-123.4488241
"7561 Bridge Lake Business Rte, Cariboo L, BC V0K 1X2, Canada",51.4777376,-120.7255583
"2854 BC-95, Brisco, BC V0A 0A8, Canada",50.8279098,-116.270416
"102 Prospector Wy #101, Britannia Beach, BC V0N 1J0, Canada",49.6243097,-123.20576
"4125 Hastings St, Burnaby, BC V5C 2J3, Canada",49.2811677,-123.0133624
"5820 Marine Dr, Burnaby, BC V7W 2R9, Canada",49.2051622,-122.9795855
"7557 Edmonds St, Burnaby, BC V3N 1B5, Canada",49.2226113,-122.9442435
"#9, 1601 Burnwood Dr #9, Burnaby, BC V5A 4H1, Canada",49.2696882,-122.9463744
"5665 Kingsway, Burnaby, BC V5H 2G6, Canada",49.2229974,-122.9813882
"1899 Rosser Ave #109, Burnaby, BC V5C 6R5, Canada",49.2669122,-123.0066466
"5097 Canada Wy, Burnaby, BC V5E 3N2, Canada",49.2392498,-122.9634209
"5901 Broadway #18, Burnaby, BC V5B 2Y1, Canada",49.2654418,-122.9779096
"7651 Royal Oak Ave, Burnaby, BC V5J 4J8, Canada",49.2139501,-122.9891466
"7755 6th St, New Westminster, BC V3L 3C8, Canada",49.22060399999999,-122.9302187
"7000 Lougheed Hwy. #5, Burnaby, BC V5A 1W2, Canada",49.2577347,-122.9582113
"3686 Bonneville Pl #106, Burnaby, BC V3N 4T6, Canada",49.2520286,-122.9148838
"166 BC-16 #101, Burns Lake, BC V0J 1E2, Canada",54.2255,-125.7544852
"Eakin Settlement Rd, Bulkley-Nechako, BC V0J 2P0, Canada",53.846675,-125.868743
"1064 Trans - Canada Hwy, Cache Creek, BC V0K 1H0, Canada",50.8099375,-121.3070642
"3692 S Island Hwy, Campbell River, BC V9H 1M7, Canada",49.94961559999999,-125.1993385
"801 Hilchey Rd 203 205, Campbell River, BC V9H 1T8, Canada",49.97326870000001,-125.2459595
"1054 S Island Hwy, Campbell River, BC V9W 1B3, Canada",49.9882518,-125.2266137
"84 Dogwood St, Campbell River, BC V9W 2X7, Canada",50.00892409999999,-125.2480911
"1342 Shoppers Row, Campbell River, BC V9W 2E1, Canada",50.0286368,-125.246007
"1760 Island Hwy, Campbell River, BC V9W 4L6, Canada",50.033448,-125.2677102
"3930 S Island Hwy, Campbell River, BC V9H 1H8, Canada",49.9245866,-125.1842625
"41040 Gold River Hwy, Campbell River, BC V9W 5C5, Canada",49.8922253,-125.652923
"125 Brant Dr, Campbell River, BC V9H 1V8, Canada",50.014942,-125.2857675
"1328 Island Hwy, Campbell River, BC V9W 8C9, Canada",50.03424580000001,-125.2471624
"465 Merecroft Rd a7, Campbell River, BC V9W, Canada",49.999299,-125.2462153
"2207 Glenmore Rd, Campbell River, BC V9H 1E1, Canada",49.86957109999999,-125.1290515
